date,title,type,notes
2008-09-15,Global financial crisis,macro,"Lehman Brothers collapse; demand shock"
2011-03-11,Arab Spring begins,political,"protests across MENA; supply concerns"
2012-11-01,EU sanctions on Iran,sanctions,"Sanctions tighten Iranian oil exports"
2014-06-01,US shale boom accelerates,market,"Supply increase from shale; price pressure"
2014-11-27,OPEC keeps quota,policy,"OPEC decision not to cut — price drop"
2016-01-20,Oil price crash 2015-16,market,"Oversupply; price falls below $30"
2018-05-08,US withdraws from Iran nuclear deal,sanctions,"Sanctions reintroduced"
2020-03-08,COVID demand collapse,macro,"Global lockdowns; price crash"
2020-04-20,WTI negative price incident,market,"Market technical event; contango"
2021-11-26,OPEC+ output adjustments,policy,"Production coordination"
2022-02-24,Russia invades Ukraine,conflict,"Major disruption fears"
2022-06-01,Sanctions & embargoes tighten,sanctions,"Further trade restrictions"
